feature,mdi,perm,perm_std,bucket,color
earnings_week,0.14955601061054208,0.06905086957742543,0.03458252666948034,earnings,#2ecc71
neutral_article_count,0.014241098130346694,0.015288083761413796,0.007041299217329309,news_volume,#9b59b6
tone_positive_weighted,0.0370618578393328,0.009158995667702593,0.0074688878871651794,sentiment_dim,#e67e22
tone_weighted,0.02689919436299961,0.007425854774315484,0.005479762938162263,overall_tone,#3498db
positive_article_count,0.019074766328241614,0.005994809012871527,0.005346311726169129,news_volume,#9b59b6
low,0.028264763167992306,0.005875777575196946,0.004540050895913314,price_vol,#95a5a6
tone_lag3,0.02334137802564476,0.005758357024091273,0.005541624101103728,sentiment_dim,#e67e22
tone_polarity_weighted,0.03653105820714244,0.005668069983954012,0.006647583668655105,sentiment_dim,#e67e22
tone_negative_weighted,0.02470879228163618,0.005617738865929264,0.004987105347816822,sentiment_dim,#e67e22
articles_lag1,0.014685347777844552,0.0053839363362256365,0.005324176346402776,news_volume,#9b59b6
unique_source_count,0.015478367978464285,0.005245938310804791,0.006574647239850161,news_volume,#9b59b6
tone_lag2,0.01872234931820389,0.004875260849195525,0.004877037632462694,sentiment_dim,#e67e22
article_count,0.017801534803158006,0.004359443648541798,0.005101678993242719,news_volume,#9b59b6
polarity_lag3,0.044035246009152026,0.004052747132957993,0.007626887538735501,sentiment_dim,#e67e22
tone_rolling5,0.01836389418240491,0.003546820504346134,0.0034108314556000018,sentiment_dim,#e67e22
volume,0.020120031042629532,0.003336333552599828,0.003598609896622912,price_vol,#95a5a6
polarity_lag1,0.05200805845081466,0.0025531350268642654,0.004454755976810032,sentiment_dim,#e67e22
negative_article_count,0.014546168597626181,0.0019002933879937714,0.0036003587779598785,news_volume,#9b59b6
tone_lag1,0.03640074187947209,0.0018286632248148305,0.007158702285004867,sentiment_dim,#e67e22
high,0.027449452522747643,0.001795735365164149,0.006510564216370865,price_vol,#95a5a6
polarity_lag2,0.04238247546780375,0.0015258751798202907,0.0030274977199865817,sentiment_dim,#e67e22
open,0.03078698138856782,0.000593867312158521,0.005412579825416818,price_vol,#95a5a6
realized_vol5,0.06137524148170538,0.0005060359863110376,0.0049366531253885945,price_vol,#95a5a6
articles_lag2,0.018911147793585097,0.000253503003170219,0.005328678702210899,news_volume,#9b59b6
daily_return,0.025604058924630548,0.00012193734409457294,0.004284016047127291,price_vol,#95a5a6
close,0.03150395569905582,-2.6526047900365945e-05,0.005784690170439097,price_vol,#95a5a6
avg_activity_density,0.03566319413301364,-0.0011426254896780988,0.00479987768702998,news_volume,#9b59b6
articles_lag3,0.01788449915073105,-0.0016552463633245362,0.0035756006186427615,news_volume,#9b59b6
tone_momentum,0.021761226758777712,-0.0018829769611682294,0.003618861148627793,sentiment_dim,#e67e22
tone_stddev,0.022359836094750254,-0.002506122155586758,0.003061541953544962,sentiment_dim,#e67e22
tone_avg,0.025027032293385227,-0.002702783687535052,0.003993913379160274,overall_tone,#3498db
tone_vol5,0.027450239297597486,-0.0036700947905326446,0.010024691733239657,sentiment_dim,#e67e22
