model,mean_f1,std_f1,min_f1,max_f1
Null (predict majority),0.3069306930693069,0.0,0.3069306930693069,0.3069306930693069
"Logistic, no penalty",0.4827114314387374,5.551115123125783e-17,0.48271143143873735,0.48271143143873735
"Logistic, L1 (lasso)",0.5284751990202081,0.0,0.5284751990202081,0.5284751990202081
"Logistic, L2 (ridge)",0.5126945126945127,0.0,0.5126945126945127,0.5126945126945127
KNN k=15,0.5520152505446623,0.0,0.5520152505446623,0.5520152505446623
RandomForest n=300 d=6,0.5317859568632117,0.019330440842469734,0.5018702673113766,0.5550847457627119
ExtraTrees n=300 d=6,0.5626214283542458,0.002297676389846012,0.5598919523099851,0.5667493451401284
HistGradBoost it=300 d=4 lr=0.05,0.5236366935849741,0.0,0.5236366935849741,0.5236366935849741
LightGBM n=300 d=6 lr=0.05,0.5227272727272727,0.0,0.5227272727272727,0.5227272727272727
XGBoost n=300 d=6 lr=0.05,0.5045821613283731,0.0,0.5045821613283731,0.5045821613283731
